dept,lab,hood,exclude
chem,nocera,CHEM.CONANT.308.FH13:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH14:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH15:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH16:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH17:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH18:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH19:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH20:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH21:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH22:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH23:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH24:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH25:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH26:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH27:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH28:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH29:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.308.FH30:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.304.FH:FLOW STPT,TRUE
chem,nocera,CHEM.CONANT.312.FH:FLOW STPT,TRUE
chem,park,CHEM.CONVER.FHC.RM012:FLOW STPT,TRUE
chem,park,CHEM.CONANT.FHC2.RM011:FLOW STPT,TRUE
chem,park,CHEM.CONANT.FHC4.RM011:FLOW STPT,TRUE
chem,ritter,CHEM.NAITO.FHC.313A:FLOW STPT,TRUE
chem,ritter,CHEM.NAITO.FHC.313B:FLOW STPT,TRUE
chem,ritter,CHEM.NAITO.FHC.313C:FLOW STPT,TRUE
chem,ritter,CHEM.NAITO.FHC.313D:FLOW STPT,TRUE
chem,ritter,CHEM.NAITO.FHC.313E:FLOW STPT,TRUE
chem,ritter,CHEM.NAITO.FHC.313F:FLOW STPT,TRUE
chem,ritter,CHEM.MALLIN.FHC.RM308A:FLOW STPT,TRUE
chem,ritter,CHEM.MALLIN.FHC.RM308B:FLOW STPT,TRUE
chem,ritter,CHEM.MALLIN.FHC.RM310A:FLOW STPT,TRUE
chem,ritter,CHEM.MALLIN.FHC.RM310B:FLOW STPT,TRUE
chem,ritter,CHEM.MALLIN.FHC.RM312:FLOW STPT,TRUE
chem,saghatelian,CHEM.CONVER.FHC1.RM207A:FLOW STPT,TRUE
chem,saghatelian,CHEM.CONVER.FHC2.RM207A:FLOW STPT,TRUE
